ingredient_name;category_name;
Вода;Очищающие вещества
Циклометикон;Силиконы
Триглицериды кокосового масла;Базовые растительные масла
Изодецил неопентаноат;Эмоленты
Глицерин растительный;Увлажняющие агенты
Жожоба масло;Базовые растительные масла
Андироба масло;Базовые растительные масла
Дикаприловый карбонат;Эмоленты
Гидрогенизированные глицериды пальмоядрового масла;Эмоленты
Арахидиловый спирт;Эмоленты
Цетеариловый спирт;Эмоленты
Бутиленгликоль;Увлажняющие агенты
Цетеариловый глюкозид;Эмульгаторы
Модифицированный кукурузный крахмал;Структурообразователь (загуститель)
Этиловый спирт;Денатурант
Бегениловый спирт;Эмоленты
Перфлюородиметилциклогексан;Продукт нефтепереработки
Декалин;Растворитель (солюбелизатор)
Арахиновый глюкозид;Эмульгаторы
Гидрогенизированные глицериды пальмового масла;Эмоленты
Бойзеновой ягоды масло;Базовые растительные масла
Peg-30 dipolyhydroxystearate;Эмульгаторы
Гидроксиэтилмоченвина;Влагоудерживающие агенты
Токоферилацетат;Антиоксиданты
Полоксамер 188;ПАВы (моющие вещества)
Аргинин;Аминокислоты
Аскорбил тетерапальмитат;Антиоксиданты
Полиметизиопропиловый эфир;Плёнкообразователи
Натрий;Прочие компоненты
Сульфат декстрана;Стабилизаторы вязкости
Диазолидинилмочевина;Консерванты
Bht;Антиоксиданты
Динатрий эдта;Хелаты
Метилпарабен;Консерванты
Пропилпарабен;Консерванты
Fragrance;Ароматическое вещество
Сорбитол 20м (сорбит);Влагоудерживающие агенты
Экстракт водорослей;Растительные экстракты
Гидроксиэтилмоченвина;Влагоудерживающие агенты
Глицерин растительный;Увлажняющие агенты
Бетаин;Влагоудерживающие агенты
Натриевая соль пирролидонкарбоновой кислоты;Аминокислоты
Серин;Аминокислоты
Глицин;Аминокислоты
Глутаминовая кислота;Аминокислоты
Аланин;Аминокислоты
Лизин;Аминокислоты
Аргинин;Аминокислоты
Треонин;Аминокислоты
Пролин;Аминокислоты
Кокосовый экстракт;Растительные экстракты
Глицерил-8 эфиры миндального масла;Эмоленты
Полисорбат 20 (твин 20);Эмульгаторы
Отдушка парфюмерная;Ароматическое вещество
Метилхлороизотиазолинон;Консерванты
Метилизотиазолинон;Консерванты
Лимонная кислота;Стабилизаторы кислотности (PH)
Гексилциннамал;Парфюмерные ингредиенты
Кумарин;Парфюмерные ингредиенты
