ingredient_name;synonym_name;
1-ДОДЕКАНОЛ; лауриловый спирт,Dodecanol,Dodecyl alcohol,1-Dodecanol,Hydroxydodecane,C12 Alcohol
1-НАФТОЛ; 1-нафтол,альфа-нафтол,1-Naphthol,α-Naphthol,1-Hydroxynaphthalene,Naphthalen-1-ol
2-БРОМО-2-НИТРОПРОПАН-1,3-ДИОЛ; бронопол,Bronopol,2-Bromo-2-nitro-1,3-propanediol,β-Bromo-β-nitrotrimethyleneglycol,Bronosol,Bronocot,Bronidiol,Lexgard Bronopol,Onyxide 500,Myacide AS
ALBUMIN; альбумин,сывороточный альбумин,яичный альбумин,Albumin,Serum albumin,Egg albumin,Human serum albumin,Bovine serum albumin
ALKYL POLYGLYCOSIDE; алкилполигликозид,Alkyl polyglucoside,APG,Coco-glucoside,Decyl glucoside,Lauryl glucoside,Capryl/caprylyl glucoside
AQUILARIA AGALLOCHA OIL; масло агарового дерева,Agarwood oil,Oud oil,Aloeswood oil,Eaglewood oil
ARGILERINE; аргирелин,Argireline,Acetyl hexapeptide-8,Acetyl hexapeptide-3
BAKUCHI; бакучи,псоралея,Psoralea corylifolia,Babchi,Bakuchiol
BAMBUSA VULGARIS (BAMBOO) EXTRACT; экстракт бамбука,Bambusa vulgaris extract,Bamboo extract
BEHENTRIMONIUM CHLORIDE; бехентримоний хлорид,Behentrimonium chloride,Docosyltrimethylammonium chloride,BTAC-228
BHT; бутилгидрокситолуол,BHT,Butylated hydroxytoluene,2,6-Di-tert-butyl-4-methylphenol
BIOPEPTIDE CL; Palmitoyl Hexapeptide-12, палмитоилгексапептид-12
BIOPEPTIDE EL; Palmitoyl Oligopeptide, палмитоилолигопептид
BOTOX-LIKE; Acetyl Hexapeptide-8, аргирелин
BTMS-50; Behentrimonium Methosulfate, Cetearyl Alcohol, бехентримоний метосульфат, цетеариловый спирт
C10-18 ТРИГЛИЦЕРИДЫ; Caprylic/Capric Triglyceride, каприловые/каприновые триглицериды
C10-30 ХОЛЕСТЕРОЛ/ЛАНОСТЕРОЛ ЭФИРЫ; Cholesterol/Lanosterol Esters, эфиры холестерина/ланостерола
