traditional_name;latin_name;INCI_name;danger_factor;naturalness;usage;safety
ЛЕЦИТИН;LECITHIN;LECITHIN;Средний;Синтетический;Гигроскопичное воскоподобное вещество. Гидрофильный коллоид. Основной структурный компонент мембран живых организмов. Оказывает выраженное действие на восстановление барьерных функций кожи, на процессы питания клеток, избавления их от шлаков. Без лецитина невозможен процесс образования новых клеток и восстановления поврежденных. В составе косметических средств быстро сорбируется кожей и оказывает смягчающее и тонизирующее действие. Благодаря выраженному поверхностно-активным свойствам способствует более глубокому проникновению жировых веществ в эпидермис. Имеются данные о антиоксидантных свойствах лецитина. Обладает эмульгирующими, стабилизирующими и загущающими свойствами. Применяется в средствах по уходу за кожей как активная добавка и эмульгатор, для производства шампуней, кондиционеров, бальзамов для губ и многих других продуктах, в восстанавливающих кремах и средствах для зрелой и сухой кожи.;В допустимых концентрациях считается безопасным.
СОРБИТАН СТЕАРАТ;SORBITAN STEARATE;SORBITAN STEARATE;Средний;Синтетический;;Эмульгатор с низким значением HLB отлично подходит для прямых эмульсий, хорошо сочетается с другими эмульгаторами, даёт вполне устойчивую эмульсию.
САХАРОЗЫ КОКОАТ;SUCROSE COCOATE;SUCROSE COCOATE;Средний;Синтетический;;
PEG-4 DILAURATE;PEG-4 DILAURATE;PEG-4 DILAURATE;Средний;Синтетический;;
POLAWAX NF Эмульсионный воск;Emulsifying Wax NF;Emulsifying Wax NF;Средний;Синтетический;;
ДИОЛЕАТ;PEG-8 DIOLEATE;PEG-8 DIOLEATE;Низкий;Синтетический;;
Inutec SP-1;INULIN LAURYL CARBAMATE;INULIN LAURYL CARBAMATE;Низкий;Синтетический;;
NULL;NULL;NULL;Низкий;Натуральный;;
СОРБИТАН ПЕРОЛЕАТ;PEG-40 SORBITAN PEROLEATE;PEG-40 SORBITAN PEROLEATE;Низкий;Синтетический;ПАВ, эмульгатор. Повышает агдезию к коже, придает ощущение гладкости, препятствует высыханию воды в препаратах.;Практически безопасный компонент.
NULL;NULL;NULL;Низкий;Натуральный;;
EMULIUM® 22;Tribehenin PEG-20 Esters;Tribehenin PEG-20 Esters;Средний;Синтетический;;Эмульгатор для системы масло в воде, подходит для большинства кремовОбеспечивает особенно однородные дисперсии. Широкая совместимость с маслами, рН конкретных активных ингредиентов  Элегантная текстура и сливочный внешний вид.
ГИДРОГЕНИЗИРОВАННЫЙ ЛЕЦИТИН;HYDROGENATED LECITHIN;HYDROGENATED LECITHIN;Низкий;Синтетический;;Натуральный фосфолипид, смягчает и кондиционирует кожу, антиоксидант.Натуральный эмульгатор из сои\; вызывает ощущение гладкости кожи. Кроме  того, лецитин, благодаря своей структуре, способствует образованию  липосом.Растворяется как в воде, так и в масле при комнатной температуреКосметические свойстваПовышает проницаемость кожи и способствует проникновению других компонентов в глубокие слои кожи, способствует образованию липосом, если использовать в концентрации более 5%.Синонимы : ЛЕЦИНОЛ, HYDROGENATED EGG YOLK PHOSPHOLIPIDS\; HYDROGENATED LECITHINS\; LECITHIN, HYDROGENATED\; LECITHINS, HYDROGENATED
ПЭГ-7 ГЛИЦЕРИЛ КОКОАТ;PEG-7 GLYCERYL COCOATE;PEG-7 GLYCERYL COCOATE;Средний;Синтетический;Мягкое, неионное ПАВ. Обладает превосходной моющей способностью. Значительно снижает раздражающее действие анионных ПАВ, в том числе лаурилсульфоэтоксилата натрия. Обладает пенорегулирующими свойствами. Безопасен для окружающей среды. Является альтернативой жирным этоксилированным спиртам.  Используется для производства детских шампуней, гелей для душа и т.д.;Синтетический полимер на основе ПЭГ (полиэтиленгликоля) и жирных кислот, полученных из кокосового масла. Благодаря наличию ПЭГ, этот компонент может содержать потенциально токсичные примеси, такие как 1,4-диоксан.
PEG-20 ALMOND GLYCERIDES;PEG-20 ALMOND GLYCERIDES;PEG-20 ALMOND GLYCERIDES;Низкий;Синтетический;;
MONTANOV L;MONTANOV L;C14-22 Alcohols + C12-20 Alkyl glucoside;Низкий;Синтетический;представляет собой смесь синтетических жирных спиртов с 14 до 22 атомов углерода в цепи и смесь C12-20 алкил глюкозида который является продуктом, полученным путем конденсации 12-20 атомных спиртов с глюкозой.;
BTMS-50;BTMS-50;BTMS-50;Низкий;Синтетический;;BTMS это отличный эмульгатор он придаёт меньше жирного ощущения на кожи!   некоторые например Tinosan SDC не работают с эмульгатором BTMS.  BTMS-50 будет отлично эмульгировать косметические  составы с большим количеством силиконов (до 50%)    BTMS-50 используется в качестве кондиционера для волос. Состав: Behentrimonium methosulfate , cetyl alcohol,  butylene glycol
ЦЕТЕАРИЛОВЫЙ ГЛЮКОЗИД;CETEARYL GLUCOSIDE;CETEARYL GLUCOSIDE;Низкий;Синтетический;Продукт конденсации олигосахаридов со спиртами. Находится в зеленой части растений (составляющая хлоропластов). Является структурным компонентом клеточных мембран. Восстанавливает естественный тургор кожи, повышает эластичность и упругость эпидермиса. Классический компонент восстановления естественных регуляторов увлажненности кожи.;
CETETH-10;CETETH-10;CETETH-10;Низкий;Синтетический;;
ЦЕТЕТ-2;CETETH-2;CETETH-2;Низкий;Синтетический;Эмульгатор М/В. Смягчает кожу. Желеообразующий и диспергирующий агент. Используется во всех типах косметических средств.;Безопасный компонент.
